time,server_load
2017-03-08 00:00:00,22.6462103907
2017-03-08 00:05:00,21.111327345
2017-03-08 00:10:00,26.144941415
2017-03-08 00:15:00,15.5337455763
2017-03-08 00:20:00,31.5980018626
2017-03-08 00:25:00,31.7347591367
2017-03-08 00:30:00,23.2426478807
2017-03-08 00:35:00,28.9621472084
2017-03-08 00:40:00,21.8313861207
2017-03-08 00:45:00,22.4507095392
2017-03-08 00:50:00,28.7486299447
2017-03-08 00:55:00,27.7986105963
2017-03-08 01:00:00,32.6259799531
2017-03-08 01:05:00,24.8610343966
2017-03-08 01:10:00,29.2958823219
2017-03-08 01:15:00,21.737819923
2017-03-08 01:20:00,20.2141925706
2017-03-08 01:25:00,20.9474427275
2017-03-08 01:30:00,13.146070659
2017-03-08 01:35:00,32.380473043
2017-03-08 01:40:00,28.5594882939
2017-03-08 01:45:00,33.3877377376
2017-03-08 01:50:00,22.1522242889
2017-03-08 01:55:00,28.1428190023
2017-03-08 02:00:00,21.3793915133
2017-03-08 02:05:00,22.3677572014
2017-03-08 02:10:00,33.2350997355
2017-03-08 02:15:00,26.4791891289
2017-03-08 02:20:00,22.9308568783
2017-03-08 02:25:00,19.0451274593
2017-03-08 02:30:00,23.7489122622
2017-03-08 02:35:00,23.2464833965
2017-03-08 02:40:00,30.9878735742
2017-03-08 02:45:00,30.3369982813
2017-03-08 02:50:00,28.9863683528
2017-03-08 02:55:00,28.1394011105
2017-03-08 03:00:00,35.3432859474
2017-03-08 03:05:00,31.2408966834
2017-03-08 03:10:00,28.4197461094
2017-03-08 03:15:00,31.9502235618
2017-03-08 03:20:00,32.3663521928
2017-03-08 03:25:00,29.9915949683
2017-03-08 03:30:00,26.6337973834
2017-03-08 03:35:00,33.2420319898
2017-03-08 03:40:00,34.6571547889
2017-03-08 03:45:00,26.5567269444
2017-03-08 03:50:00,24.5964734769
2017-03-08 03:55:00,25.5446583303
2017-03-08 04:00:00,37.6598020024
2017-03-08 04:05:00,30.4182106933
2017-03-08 04:10:00,25.5170016528
2017-03-08 04:15:00,27.723546051
2017-03-08 04:20:00,36.844857694
2017-03-08 04:25:00,29.1588778461
2017-03-08 04:30:00,29.3620046988
2017-03-08 04:35:00,31.6926543621
2017-03-08 04:40:00,28.4578412763
2017-03-08 04:45:00,34.8246892303
2017-03-08 04:50:00,28.0724209798
